param,session,side,entry_time,exit_time,bars_held,entry_price,exit_price,stop_price,target_price,range_size,range_pct,exit_reason,price_pnl,risk_price,pnl,weekday,date,hour,rng,tgt,year,ehour,scale,pnl_vt
h00_r30_t1,1778457600000000000,1,1778459505000000000,1778460770000000000,253,4691.923,4675.812,4675.812,4708.034,16.110999999999876,0.3439681425421378,sl,-16.110999999999876,16.110999999999876,-32.36199999999975,Monday,2026-05-11,0,30,1.0,2026,0,0.6582406968835758,-21.301985432546118
h01_r60_t3,1778457600000000000,-1,1778472185000000000,1778504505000000000,6463,4674.544,4705.752,4705.752,4580.919999999998,31.20800000000054,0.6659881872884891,sl,-31.20800000000054,31.20800000000054,-62.55600000000108,Monday,2026-05-11,1,60,3.0,2026,4,0.6582406968835758,-41.17690503424968
h02_r15_t3,1778457600000000000,1,1778466665000000000,1778468135000000000,294,4692.9130000000005,4678.348,4678.348,4736.608000000002,14.56500000000051,0.3108006258263586,sl,-14.56500000000051,14.56500000000051,-29.27000000000102,Monday,2026-05-11,2,15,3.0,2026,2,0.6582406968835758,-19.266705197782933
h04_r30_t3,1778457600000000000,-1,1778473840000000000,1778477720000000000,776,4670.360000000001,4680.091,4680.091,4641.167000000001,9.730999999999767,0.20828098305370116,sl,-9.730999999999767,9.730999999999767,-19.601999999999535,Monday,2026-05-11,4,30,3.0,2026,4,0.6582406968835758,-12.902834140311546
h13_r30_t3,1778457600000000000,1,1778506270000000000,1778543995000000000,6768,4735.839,4767.695,4698.659,4847.379000000001,37.18000000000029,0.7862813986503853,session_end,31.855999999999767,37.18000000000029,63.571999999999534,Monday,2026-05-11,13,30,3.0,2026,13,0.6582406968835758,41.84567758228237
h14_r15_t2,1778457600000000000,-1,1778509920000000000,1778536910000000000,4628,4718.6669999999995,4738.857,4738.857,4678.286999999998,20.19000000000051,0.4267718482772286,sl,-20.19000000000051,20.19000000000051,-40.52000000000102,Monday,2026-05-11,14,15,2.0,2026,14,0.6582406968835758,-26.67191303772316
h00_r30_t1,1778544000000000000,-1,1778547270000000000,1778549670000000000,480,4753.269,4732.688,4773.85,4732.688,20.58100000000013,0.43214199101113016,tp,20.58100000000013,20.58100000000013,41.02200000000026,Tuesday,2026-05-12,0,30,1.0,2026,0,0.6591398571425122,27.03923521970031
h01_r60_t3,1778544000000000000,-1,1778557550000000000,1778630395000000000,13810,4720.2080000000005,4716.898,4755.614,4613.990000000003,35.40599999999904,0.7489551308058837,session_end,3.3100000000004,35.40599999999904,6.480000000000801,Tuesday,2026-05-12,1,60,3.0,2026,3,0.6591398571425122,4.271226274284007
h02_r15_t3,1778544000000000000,-1,1778552465000000000,1778566980000000000,2903,4725.394,4699.561000000001,4734.005,4699.561000000001,8.610999999999876,0.18198371762450016,tp,25.83299999999963,8.610999999999876,51.52599999999926,Tuesday,2026-05-12,2,15,3.0,2026,2,0.6591398571425122,33.96284027912459
h04_r30_t3,1778544000000000000,-1,1778561305000000000,1778569665000000000,1672,4719.798,4687.617,4730.525,4687.617,10.726999999999862,0.22713822145288132,tp,32.180999999999585,10.726999999999862,64.22199999999917,Tuesday,2026-05-12,4,30,3.0,2026,4,0.6591398571425122,42.33127990540587
