session_date,weekday,bars,ticks,open,high,low,close,range_pct,ret_pct,trendiness,vwap_drift_pct,realized_vol_pct,max_dev_pct,mean_abs_dev_pct,vwap_crosses,avg_spread,median_spread
2024-05-06,Monday,276,149524,2294.0295,2332.191,2291.8655,2326.043,1.7578457469705564,1.3955138763472754,0.7938773232817965,1.0423906065842843,0.9912790763708906,0.6977854232039353,0.32561859040682045,3,0.0707676583318131,0.06299999999964712
2024-05-07,Tuesday,276,117659,2326.053,2330.026,2310.022,2315.1,0.8599976010864716,-0.47088350953310065,0.547540491901621,-0.370806346760109,0.6965076726359802,0.3774142359841624,0.16008591425172572,19,0.07045887313614925,0.06299999999964712
2024-05-08,Wednesday,276,125099,2315.2675,2321.4355,2303.6845,2308.984,0.7666932654650145,-0.2713941261646874,0.3539800574615476,-0.09950805051054097,0.721275622483345,0.429008765033289,0.1400484469230549,12,0.07164601174455759,0.06299999999964712
2024-05-09,Thursday,276,132855,2308.8334999999997,2348.4245,2306.571,2346.6235,1.81275522899335,1.6367572629208829,0.9029113455266649,0.6102942561248593,0.8486681242056852,1.1771433787356411,0.4140113259213237,16,0.07061224116930301,0.06299999999964712
2024-05-10,Friday,252,147385,2346.66,2378.5755,2346.025,2360.6459999999997,1.3870991110770128,0.5959960113522997,0.4296708191886438,0.696936313227296,0.9109410483715351,0.8054624011319546,0.26507650848456027,12,0.062498304408539394,0.062000000000352884
2024-05-13,Monday,276,132040,2360.548,2364.5865,2332.1345,2338.5254999999997,1.3747655205486087,-0.9329401477961913,0.6786176506840932,-0.6348527957823585,0.7147686619786113,0.6737181178071533,0.32199104608881673,3,0.0700510510510524,0.06299999999964712
2024-05-14,Tuesday,276,135484,2338.49,2359.715,2334.834,2355.4895,1.0639771818566817,0.7269434549645436,0.683232185201565,0.3989622911199736,0.720896431998897,0.5786511877667535,0.23846497313700285,8,0.07029713691423116,0.06299999999964712
2024-05-15,Wednesday,276,159501,2355.871,2392.0105,2351.848,2391.6945,1.7047834962101025,1.5206053302578948,0.8919638966697803,0.6290048492294537,0.9607514912535929,1.0280235988697393,0.39430958413060224,20,0.07609542610702515,0.06299999999964712
2024-05-16,Thursday,276,140255,2391.8635,2397.448,2370.985,2378.1875,1.1063758446081784,-0.5717717587144889,0.5167970373729383,-0.28103644150829105,0.8042241443066885,0.6125737898519695,0.20164320646871586,12,0.07078890038337311,0.06299999999964712
2024-05-17,Friday,252,138390,2377.8205,2422.8315000000002,2374.008,2414.045,2.053287874337042,1.523432908413409,0.7419480373180937,0.6061596630174808,0.8650054793795228,1.3637683302270065,0.45369717556118905,14,0.0625031855588012,0.06299999999964712
2024-05-20,Monday,276,208672,2420.306,2450.125,2407.3735,2426.39,1.7663675584822685,0.2513731734747521,0.14231079611241368,0.5194935120649999,1.2872019244372312,1.0442141768941469,0.27088787786160384,6,0.07088249589890214,0.06299999999964712
2024-05-21,Tuesday,276,172030,2426.235,2434.0285,2406.1375,2421.6345,1.1495588844444202,-0.18961477350710093,0.16494568140260293,-0.2337383704274968,0.9080709390595545,0.5312918945981946,0.1537636030948895,30,0.07028333435039916,0.06299999999964712
