session_date,hour,mean_abs_dev_pct,bar_range_pct,avg_spread
2025-05-16,12,1.1800155298841695,0.1911728803497569,0.03700000000000172
2025-05-16,13,0.8718232967295904,0.20423576344537833,0.03700000000001877
2025-05-16,14,0.9032711476337824,0.18238632106181002,0.037000000000016874
2025-05-16,15,0.7660588132988355,0.10844368734763653,0.03700000000000551
2025-05-16,16,0.5613478664155147,0.09234342271134123,0.03699999999998466
2025-05-16,17,0.4562912725649759,0.0757710593464502,0.03700000000000803
2025-05-16,18,0.4027819007290441,0.07824356590118255,0.037000000000002344
2025-05-16,19,0.22750731917596764,0.07435687963105951,0.03700000000000515
2025-05-16,20,0.05785931329647595,0.10219617143176667,0.03699999999999479
2025-05-19,0,0.07636645665609708,0.1358961039186678,0.037000000000003606
2025-05-19,1,0.41854930174296406,0.20253971359236678,0.0370000000000074
2025-05-19,2,0.2986697144875978,0.1337464639777051,0.03700000000000929
2025-05-19,3,0.30753177587640085,0.12746884795532737,0.03699999999999161
2025-05-19,4,0.4094517842985364,0.08394252484993545,0.03700000000000028
2025-05-19,5,0.22085386256189712,0.11376672593926475,0.037001388888899096
2025-05-19,6,0.0622523503026883,0.11492316164981463,0.03699861111111823
2025-05-19,7,0.15636262248339536,0.10597853822553696,0.03699999999999729
2025-05-19,8,0.3201331859126299,0.10117117473427799,0.037001388888880146
2025-05-19,9,0.38132443975807967,0.11018751369631073,0.036999999999989715
2025-05-19,10,0.33254447332446985,0.10497909251951205,0.03700138888889973
2025-05-19,11,0.4173179683233163,0.08618974282234705,0.03699861111111949
2025-05-19,12,0.2674071471877102,0.12178913619919325,0.03699999999999793
2025-05-19,13,0.06591106532960217,0.16164626156799244,0.03699999999999982
2025-05-19,14,0.12791439283213693,0.15954335064946643,0.037000000000009935
2025-05-19,15,0.07598338938952001,0.10373936074187247,0.037000000000004245
2025-05-19,16,0.044357677343829366,0.06847388855282865,0.03700138888889531
2025-05-19,17,0.0857658351579189,0.08595821392363509,0.03699999999999793
2025-05-19,18,0.07989519981232475,0.060597782168244796,0.037001388888889986
2025-05-19,19,0.06850069790512554,0.04946074847960504,0.03699861111109865
2025-05-19,20,0.028632793028814565,0.0473415897676139,0.036999999999997445
2025-05-19,22,0.13562185930698636,0.06010450440470601,0.03699858757061366
2025-05-19,23,0.255725176651657,0.07267591950196173,0.03699999999998031
2025-05-20,0,0.06865371806025215,0.10160463236328253,0.03699999999999729
2025-05-20,1,0.15266158395228305,0.13575973882812362,0.03700138888888647
2025-05-20,2,0.2861328876039672,0.13542697349090743,0.03700000000000551
2025-05-20,3,0.22607340574221624,0.09029659348737923,0.03699999999999856
2025-05-20,4,0.10774928442287733,0.06742557035475069,0.0370013888888732
2025-05-20,5,0.08118270892921052,0.1028257195193759,0.03700000000000172
2025-05-20,6,0.11608366354846184,0.09928652679428933,0.03699861111111002
2025-05-20,7,0.1366347793098268,0.10493043133883613,0.03699999999999729
2025-05-20,8,0.2752619450661011,0.10012189458750212,0.03700000000000703
2025-05-20,9,0.5349118953899713,0.1016098254558549,0.0370027777777908
2025-05-20,10,0.469600374824209,0.06046744466433042,0.03700000000000614
2025-05-20,11,0.5605226907413989,0.07269871348344775,0.03699999999999603
2025-05-20,12,0.6050692967265557,0.12530164206322128,0.037000000000004245
2025-05-20,13,0.5456031315280567,0.16821383501718948,0.03700138888888331
2025-05-20,14,1.6515727453520554,0.1868807822391131,0.036998611111112543
2025-05-20,15,1.4900093637258616,0.11599608679251337,0.03699999999998845
2025-05-20,16,1.4314830799137706,0.08334849063759807,0.036999999999999464
2025-05-20,17,1.484414696311382,0.07968981956696596,0.037001388888890256
2025-05-20,18,1.5040599760729423,0.058904152417626934,0.03700000000000677
2025-05-20,19,1.5235538368869923,0.060314265461239,0.03699999999997897
2025-05-20,20,1.4951184750722044,0.04605120338510638,0.03700000000001593
2025-05-20,22,1.565694477141969,0.11739847293613986,0.03700138888889747
2025-05-20,23,1.3352531908526633,0.0869933511193465,0.03699999999999911
2025-05-21,0,0.10844295215457489,0.09609518724071509,0.03700000000000551
2025-05-21,1,0.130596146914408,0.1856199248465338,0.03699999999999793
2025-05-21,2,0.10273859087458581,0.1277838896252811,0.036999999999995405
2025-05-21,3,0.23155284655637756,0.08235646258621926,0.03699999999998024
2025-05-21,4,0.14432043330606464,0.0762936110051527,0.037000000000013085
2025-05-21,5,0.1702258107519289,0.11495681323315421,0.03699999999999477
2025-05-21,6,0.4405216909833543,0.10844367844238664,0.03699999999999729
2025-05-21,7,0.25417188914453664,0.11016624991753649,0.037001388888875726
2025-05-21,8,0.11164992905886702,0.0838869940423772,0.03700000000000867
2025-05-21,9,0.1459523090307443,0.07791742640374226,0.036999999999999825
