param,trades,sessions,win_rate,pf,net_pnl,exp_usd,exp_R,mean_session,ci_lo,ci_hi,max_dd_pct,sharpe
B_t0.35_s0.8_fixed_r1.5_e0.3_h0,1073,335,40.54054054054054,0.8996091500995528,-4538.027575999866,-4.229289446411804,-0.042047396581196064,-13.546350973133931,-31.055578609551265,3.4793090276119414,-57.61799015726542,-1.3298571097755223
B_t0.25_s1_fixed_r1.5_e0.45_h24,2619,379,45.93356242840779,0.9323477503972976,-5129.235124999533,-1.958470838105969,-0.01855246528429548,-13.533601912927539,-31.302266312663654,3.987706701847935,-65.01213063329777,-1.2241588269383614
B_t0.25_s0.6_fixed_r1.0_e0.3_h24,3550,376,48.4225352112676,0.9044297651135189,-6773.970445000192,-1.9081606887324485,-0.028900709227742228,-18.01587884308563,-31.377013998006266,-5.065906744681406,-69.35089965707213,-2.2025733994783945
B_t0.25_s0.8_fixed_r1.0_e0.3_h12,3433,376,48.58724147975531,0.9067039689124882,-6448.904380000007,-1.8785040431109838,-0.021982703055656007,-17.151341436170245,-31.444220543883294,-3.1589494468087644,-66.05254600492314,-1.946014353964925
B_t0.25_s0.6_fixed_r1.0_e0.3_h0,3382,376,48.49201655824956,0.9027980021931953,-6914.742275000195,-2.0445719322886444,-0.03255571954037917,-18.390272007979256,-31.54622173304557,-5.346748485705015,-70.49530471616798,-2.2391062294616373
B_t0.25_s0.6_fixed_r1.5_e0.3_h12,3653,376,43.38899534629072,0.905714819599914,-6635.243672500125,-1.8163820620038669,-0.028946206946179137,-17.6469246609046,-31.72576142270584,-3.7841203595416197,-71.9716940599657,-2.0301227653774236
B_t0.35_s1_vwap_static_e0.3_h0,828,335,42.149758454106276,0.8934289609027796,-4277.906120933926,-5.166553286152085,-0.04230359465910776,-12.769869017713212,-31.726627236994286,5.430098806550673,-54.765130712550736,-1.1811469779282426
B_t0.35_s0.8_fixed_r1.5_e0_h24,2284,368,45.709281961471106,0.9368088853692765,-4672.115249999701,-2.0455846103326185,-0.016140803995115412,-12.695965353260068,-31.79326000108617,6.134845954348176,-56.2636690906652,-1.073303087791534
B_t0.25_s1_vwap_static_e0.3_h0,1476,376,39.56639566395664,0.9066019979936583,-5423.296813699096,-3.674320334484482,-0.041060926327764126,-14.423661738561437,-31.851704351142903,2.440280660572811,-65.38115797979899,-1.3498658781694837
B_t0.35_s0.8_vwap_static_e0.3_h0,955,335,37.80104712041884,0.8881225571554731,-4704.693163163811,-4.9263802755642,-0.049596565382239555,-14.043860188548697,-31.868512698012413,3.5913622582574654,-60.642353375047776,-1.3493720403540028
B_t0.25_s1_vwap_static_e0.45_h0,1699,379,39.72925250147145,0.9240594230929104,-5106.231982542306,-3.0054337743038877,-0.03458375033783654,-13.47290760565253,-31.92273448829855,4.582651005605103,-65.82365058424739,-1.1831871656084019
B_t0.35_s1_fixed_r1.0_e0_h24,2172,368,50.09208103130756,0.9346221361063608,-4713.654979999919,-2.170191058931823,-0.012221326663140806,-12.808845054347612,-32.02993403940179,5.627253241508599,-55.236162103911354,-1.1037389943207607
B_t0.25_s1_fixed_r1.0_e0.45_h0,2396,379,49.165275459098496,0.9331825990374315,-5331.150099999777,-2.2250209098496567,-0.02404114808798613,-14.066359102901801,-32.110542348283964,3.861302755606875,-62.049612400837454,-1.2726168365490116
B_t0.25_s0.6_vwap_static_e0.3_h24,2587,376,37.224584460765364,0.9017608859695511,-6019.97051167377,-2.3270083152971663,-0.04084015113705933,-16.010559871472804,-32.1413720669968,-0.19311072381013392,-67.09159100877051,-1.6249075819870893
B_t0.35_s1_fixed_r1.5_e0.3_h0,875,335,41.37142857142857,0.8930129879894289,-4627.985212500047,-5.289125957142911,-0.04528735075009894,-13.814881231343426,-32.310866409328696,3.956941074253448,-56.94321355189174,-1.2855829813366009
B_t0.25_s1_fixed_r1.0_e0.45_h24,2873,379,49.25165332405152,0.927395080286958,-5700.3162749997655,-1.9840989470935486,-0.020027415528738827,-15.040412335091744,-32.5467463093656,1.5139073763192183,-65.18237976462132,-1.4129491027070584
B_t0.25_s0.8_vwap_static_e0.3_h24,2288,376,42.30769230769231,0.90041963282755,-6093.335202458821,-2.6631709800956385,-0.036067205924368025,-16.20567872994368,-32.58726186523369,0.13721650285354745,-66.62425364119167,-1.5948819650604076
B_t0.25_s0.8_vwap_static_e0.3_h0,1693,376,34.494979326639104,0.9029802082849713,-5711.709747063418,-3.3737210555601997,-0.04783067412272703,-15.19071741240272,-32.665910071716404,1.7427816578011799,-67.74073200089478,-1.4153826298870844
B_t0.35_s0.6_fixed_r1.5_e0.45_h0,1800,353,40.0,0.909278391508036,-5501.892403000004,-3.056606890555558,-0.0407553608964071,-15.586097458923538,-32.94876484677775,1.2116130524080309,-64.88521138984382,-1.5239529581561801
B_t0.35_s1_vwap_static_e0.45_h0,974,353,42.402464065708415,0.9006784754746356,-4810.8062935316,-4.939226174057084,-0.0395446056352232,-13.628346440599435,-33.00258575716729,5.27454390839739,-60.53523981272663,-1.1681677053792985
B_t0.25_s0.8_fixed_r1.5_e0.3_h0,2084,376,39.49136276391555,0.9038705807347271,-6435.1842599999745,-3.087900316698644,-0.043858540984626944,-17.114851755319094,-33.05375600531915,-1.444823016622317,-70.10684726651799,-1.7400148216442435
B_t0.25_s0.6_vwap_static_e0.3_h12,3356,376,41.150178784266984,0.8997292073166695,-6622.807204324255,-1.9734228856746885,-0.032949514912455784,-17.613848947670906,-33.17052163896691,-2.2764089389529922,-74.98661443689343,-1.8144721916736852
