,ORIGINAL,ORIGINAL,TUNED,TUNED
,close,trough,close,trough
xt,,,,
2024-12-04,-401.3000000000429,-1721.3000000000284,-1653.9500000000535,-2483.7000000000535
2024-12-05,2249.249999999887,-1949.0000000000327,-289.75000000002547,-2364.8499999999876
2024-12-06,-851.8999999998014,-851.8999999998014,-2000.2499999999818,-2732.4999999999745
2024-12-09,4462.199999999735,-936.8999999999978,4704.7499999999745,-774.1000000000276
2024-12-10,4168.899999999934,-503.59999999992397,3015.600000000155,-1856.349999999955
2024-12-11,3254.650000000078,-1437.0999999999567,1331.4999999998927,-2277.200000000139
2024-12-12,-1981.0500000001175,-2830.700000000108,-3314.2999999999956,-3314.2999999999956
2024-12-13,4763.700000000103,-897.800000000032,1599.6000000001695,-2134.8999999999505
2024-12-16,1843.5999999998567,-452.24999999993815,-1153.0000000000127,-1374.0000000000036
2024-12-17,-2461.2499999999327,-3015.4999999999054,-1003.9500000000535,-2748.0999999999403
2024-12-18,3616.3999999996067,-1002.6000000000095,3114.599999999724,-1645.8000000000338
2024-12-19,-1651.049999999963,-2309.399999999998,-912.7499999999072,-1668.650000000067
2024-12-20,4305.250000000018,-1688.6999999999516,7181.699999999888,-860.3000000000193
2024-12-23,-2219.550000000032,-2810.8500000000495,-3572.599999999942,-3617.749999999971
2024-12-24,-1967.750000000029,-1967.750000000029,-2691.1000000001186,-2691.1000000001186
2024-12-26,176.0499999998283,-539.5000000000691,1180.899999999816,-1041.6000000001332
2024-12-27,-2001.700000000079,-2001.700000000079,-2066.649999999958,-2195.9999999999964
2024-12-30,2291.199999999657,-1317.0000000000782,1757.1499999997523,-1586.4000000000287
2024-12-31,3394.6500000002234,-174.59999999979118,2391.45000000001,-1450.900000000027
2025-01-02,4162.449999999984,-812.9500000000098,4176.849999999855,-1208.8000000000611
2025-01-03,2442.349999999982,-1317.4999999999236,2369.0500000001757,-1688.8499999999076
2025-01-06,-1073.1000000000276,-2426.849999999915,-3295.0999999999785,-3405.249999999971
2025-01-07,653.5499999998992,-1421.0500000000848,3553.8999999998177,-278.70000000002256
2025-01-08,-3145.000000000078,-3145.000000000078,-1723.9000000000706,-1985.6000000000313
2025-01-09,-418.8000000001066,-829.3500000000895,1175.199999999837,-1143.6000000001022
2025-01-10,945.1999999998352,-185.80000000017571,-465.4500000001226,-465.4500000001226
2025-01-13,-1521.0999999999385,-1990.099999999993,235.10000000017135,-2704.850000000013
2025-01-14,-644.0999999999403,-725.5000000000036,-1801.350000000024,-2919.400000000034
2025-01-15,124.50000000007458,-394.0999999999767,856.8999999998832,-809.8999999999378
2025-01-16,-464.7499999999345,-1961.199999999988,-985.9499999999043,-2000.5499999999556
2025-01-17,-2141.749999999871,-2141.749999999871,-2118.24999999992,-2118.24999999992
2025-01-20,877.0000000001746,-179.89999999980864,731.2500000001146,-384.00000000004366
2025-01-21,1249.8500000000095,-2051.30000000003,3607.5999999999804,-2225.0000000000255
2025-01-22,-2411.4000000000997,-2411.4000000000997,-1743.550000000072,-1914.2000000000535
2025-01-23,-410.89999999995234,-1053.9999999998854,189.95000000006803,-1200.5999999999203
2025-01-24,-766.0499999999101,-984.2999999998701,316.2500000001055,-246.4999999999036
