label,rng,tgt,stop,net_o,maxDD_o,rdd_o,pf_o,sharpe_o,worst_o,net_i,maxDD_i,rdd_i,pf_i,sharpe_i,worst_i,y2020,y2021,y2022,y2023
r30 t5 s1,30,5.0,1.0,-1154.639999999964,-1472.9799999999727,-0.7838802970848113,0.9635647188056445,-0.43861383508744295,-95.88400000000136,16379.896000000086,-1153.9489999999932,14.194644650673627,1.305759825550781,2.7219286526449755,-363.45400000000143,-338.4900000000174,-562.326999999988,380.2790000000302,-634.1019999999891
r30 t5 s1.5,30,5.0,1.5,-1630.041999999962,-2384.8234999999554,-0.6835063475347305,0.9598484082459404,-0.5164952892576605,-112.93100000000094,17544.238500000116,-2121.5934999999863,8.269368519464368,1.256182694502853,2.446571834418948,-544.7610000000012,-194.85150000001386,-1097.122499999977,344.8275000000272,-682.8954999999984
r30 t5 s2,30,5.0,2.0,-2038.7780000000241,-2585.161000000011,-0.7886464324659143,0.9567280675017168,-0.5988271849862481,-146.92400000000043,19909.52000000013,-1884.7959999999784,10.563222757264107,1.2575444824712263,2.646672534659629,-539.7090000000015,-336.7680000000245,-1085.8489999999892,547.646000000006,-1163.8070000000178
r30 tnone s1,30,99.0,1.0,1220.1050000000027,-1280.988,0.9524718420469221,1.037322968229875,0.28765671942603077,-120.39899999999942,16450.381000000052,-2144.240999999979,7.671889960130514,1.2988232123982946,2.046928135310955,-363.45400000000143,328.1269999999955,-306.9729999999925,1422.4329999999932,-223.48199999999247
r30 tnone s1.5,30,99.0,1.5,1728.1045000000224,-1333.901499999994,1.2955263188474038,1.040854887898946,0.335655911397959,-178.6370000000015,18468.50650000012,-3176.035499999978,5.8149559411411635,1.260410984183197,1.8967050535791858,-587.823000000002,840.6554999999962,-703.1399999999798,1696.0750000000025,-105.48599999999652
r30 tnone s2,30,99.0,2.0,1199.2159999999894,-1560.8180000000114,0.7683253268478328,1.0242320069746513,0.21790659344326244,-247.12700000000177,21546.894000000135,-2890.911999999971,7.453320613010825,1.2680125347941011,2.0993655207229507,-629.2880000000023,488.3549999999923,-627.7279999999893,1956.1769999999867,-617.5880000000005
r60 t1 s1,60,1.0,1.0,-2013.468000000032,-2115.7850000000303,-0.9516411166541038,0.927933253571279,-1.186175581506361,-95.99000000000113,4636.613999999976,-1123.275999999993,4.127760229898978,1.0974712298239615,1.328600886323441,-419.0759999999959,-1410.8530000000067,-234.30900000001697,53.84200000000153,-422.1480000000098
r60 t1 s1.5,60,1.0,1.5,-2417.6140000000196,-2480.0815000000234,-0.9748123196757835,0.9257503422540507,-1.2353223659742014,-151.2140000000004,3058.8879999999817,-1332.9299999999787,2.2948601952090737,1.054788343393455,0.7253422252214898,-727.1169999999933,-1720.9514999999901,50.071999999993665,15.30850000000585,-762.0430000000285
r60 t1 s2,60,1.0,2.0,-2085.037,-2154.249000000006,-0.9678718662512986,0.9401880683251844,-1.0019710086231555,-170.88200000000037,2995.391999999958,-1575.518999999984,1.901209696614251,1.0499861583996064,0.695700583326245,-474.42699999999826,-967.4619999999779,79.37499999999257,-267.2259999999966,-929.7240000000177
r60 t2 s1,60,2.0,1.0,-2343.5360000000046,-2862.432000000006,-0.8187219818671674,0.9330241067500746,-0.9548728100380044,-95.99000000000113,11296.771999999983,-1808.7259999999815,6.245706646556802,1.1958656515869321,2.059283465448769,-493.888999999996,-813.9270000000034,-584.5950000000128,-177.79699999998698,-767.2170000000019
r60 t2 s1.5,60,2.0,1.5,-2748.5444999999777,-2965.2399999999893,-0.9269214296313242,0.9355909180985768,-0.9915344096712106,-178.73599999999988,10549.772500000014,-1921.8199999999433,5.489469617342063,1.1513979987264358,1.6820104276214543,-593.3569999999912,-1010.5369999999829,-263.96149999999204,161.34800000001422,-1635.3940000000166
