set,rng,tgt,stop,net_tr,pf_tr,dd_tr,net_ho,pf_ho,dd_ho,sh_ho,net_all,rdd_all,dd_all,sh_all,both
8h,15,4.0,1.5,5500.930500000011,1.1501936699626192,-1548.8345000000008,5586.278500000029,1.186792464975025,-664.3000000000202,2.7085313549897685,11087.20900000004,7.158420735075331,-1548.8345000000008,2.0463276747778423,True
8h,15,4.0,2.0,5040.729999999983,1.1188328886703687,-1743.439999999996,6730.29400000005,1.1967946850329019,-867.7559999999912,2.8451226789971384,11771.024000000034,6.751608314596463,-1743.439999999996,1.9370034637269395,True
8h,15,5.0,1.0,5216.047000000057,1.1784218137583824,-896.5779999999813,7008.353000000004,1.3025750307697435,-691.0290000000168,3.9826771386222206,12224.40000000006,12.125540468559878,-1008.1530000000012,2.5751111509442652,True
8h,15,5.0,1.5,6591.294000000049,1.175791949279872,-1608.793499999987,6005.92150000004,1.1960011266132766,-803.7190000000245,2.8537669628126507,12597.21550000009,7.157279041894355,-1760.0565000000215,2.2168819254707453,True
8h,15,5.0,2.0,6192.473000000026,1.1418949990759892,-1862.024999999985,7944.188000000053,1.226627819058973,-813.7059999999901,3.2439981902727046,14136.66100000008,7.592089794712848,-1862.024999999985,2.196274687800915,True
8h,15,99.0,1.0,7043.8650000000125,1.2319277901836434,-1820.976999999999,7391.317999999999,1.3092502040729233,-657.5999999999967,3.0802452208410465,14435.183000000012,7.927163824694115,-1820.976999999999,2.1275348648982724,True
8h,15,99.0,1.5,8512.30350000003,1.2151797696265711,-2797.110500000007,7277.852500000001,1.22949733027358,-778.806000000006,2.4194488868782775,15790.156000000032,5.645167039342918,-2797.110500000007,1.8779310865582406,True
8h,15,99.0,2.0,8217.772000000035,1.1767614912192088,-3155.777000000012,9934.777000000016,1.2734718881930445,-954.302000000002,2.801292449694886,18152.54900000005,5.7521646808377085,-3155.777000000012,1.8969710184866655,True
8h,30,1.0,1.0,2486.8720000000003,1.1010867363148262,-996.3740000000095,2953.537000000014,1.1509065751575083,-1034.999999999995,2.495656165667947,5440.409000000014,5.25643381642516,-1034.999999999995,1.835563464186985,True
8h,30,1.0,1.5,2140.554500000016,1.0744643845012627,-1035.6380000000238,3509.373000000027,1.1558701942263112,-754.5990000000013,2.5483654879804933,5649.927500000043,5.455504239898414,-1035.6380000000238,1.6051304443175634,True
8h,30,1.0,2.0,2501.2409999999873,1.0815340285387236,-1293.6000000000085,2048.703000000003,1.0808744502088952,-1126.620000000002,1.2944458176629787,4549.94399999999,3.517272727272696,-1293.6000000000085,1.144152783073953,True
8h,30,2.0,1.0,4118.692000000006,1.1316571928625794,-861.6279999999956,4760.339000000061,1.191354449829816,-719.5200000000001,2.9796849088766675,8879.031000000068,10.304947146564542,-861.6279999999956,2.114936104454038,True
8h,30,2.0,1.5,4045.89300000003,1.1065607355761329,-1254.0935000000022,4587.140000000061,1.1508548459908507,-729.9799999999924,2.3797684735765183,8633.03300000009,6.883883059755971,-1254.0935000000022,1.7097795397243372,True
8h,30,2.0,2.0,4471.489,1.1065578124441104,-1125.6329999999962,4495.833000000045,1.1328991150647585,-1065.738999999996,2.1766981127979164,8967.322000000044,7.966470421531771,-1125.6329999999962,1.694112569297029,True
8h,30,3.0,1.0,5690.323000000035,1.1687092170842406,-1166.6459999999988,7164.800000000031,1.271153886036954,-831.9210000000003,3.6353271235559452,12855.123000000065,11.018872048590643,-1166.6459999999988,2.5069939542292,True
8h,30,3.0,1.5,5957.2565000000595,1.1424056572365024,-1878.4444999999932,7589.053000000039,1.2315905207906215,-851.0589999999884,3.116648035789665,13546.309500000098,7.211450484696324,-1878.4444999999932,2.139529142881172,True
8h,30,3.0,2.0,6556.944000000003,1.140393916534258,-1378.0350000000099,7965.349000000023,1.2173317550073137,-985.3229999999969,3.1098594315612473,14522.293000000027,10.53840649910918,-1378.0350000000099,2.205112540987437,True
8h,30,4.0,1.0,6208.133000000095,1.1784868035871885,-1174.9959999999974,9605.183999999987,1.3551344094211268,-741.0950000000012,4.323373271591497,15813.317000000083,13.458187942767566,-1174.9959999999974,2.7126603743487463,True
8h,30,4.0,1.5,6680.522500000099,1.153469905429388,-2093.8564999999835,9917.301999999996,1.293197545150663,-909.0220000000008,3.6743389441303416,16597.824500000097,7.9269159562750495,-2093.8564999999835,2.323765169190784,True
