,ORIGINAL,ORIGINAL,TUNED,TUNED
,close,trough,close,trough
xt,,,,
2025-07-22,-3486.550000000012,-4834.60000000004,-3948.3500000000768,-4178.200000000035
2025-07-23,1425.7499999998563,-3055.900000000047,2970.299999999812,-3358.2999999999997
2025-07-24,4536.349999999969,-1388.7000000000023,6877.100000000217,-568.7999999999847
2025-07-25,5653.400000000442,-1022.9999999999418,8589.850000000111,-623.0999999999876
2025-07-28,3083.749999999849,-1612.0999999999913,-693.2500000000382,-3556.899999999941
2025-07-29,352.6999999997279,-1242.250000000202,875.3499999998604,-474.5000000002037
2025-07-30,2857.749999999984,-1895.1500000000487,-1000.8499999999748,-3149.65000000002
2025-07-31,240.3499999999658,-1146.5000000000546,648.9999999999291,-787.0
2025-08-01,1739.499999999656,-1735.4000000000706,1939.499999999904,-3008.300000000061
2025-08-04,2468.899999999845,-105.0,721.0499999998738,-3168.8999999999014
2025-08-05,1210.5499999998065,-1850.600000000013,618.9499999999916,-2405.499999999991
2025-08-06,-2534.5499999999683,-2945.899999999978,-1112.449999999948,-1523.7999999999574
2025-08-07,1249.1000000000658,-2107.0500000000084,2259.8999999999214,-2396.9000000000287
2025-08-08,-5242.499999999996,-5242.499999999996,-7372.549999999914,-7372.549999999914
2025-08-11,2593.950000000128,-531.4999999999836,5199.400000000167,-1561.3999999999614
2025-08-12,-5545.699999999992,-5545.699999999992,-3687.850000000009,-3921.900000000005
2025-08-13,7.650000000034197,-1763.8000000000063,290.4499999999607,-1325.7999999999756
2025-08-14,-22.30000000001928,-2595.6499999999305,4637.600000000017,-1668.9999999999836
2025-08-15,-1385.2500000000657,-1992.250000000069,-2560.800000000112,-3141.850000000088
2025-08-18,619.7999999998719,-1422.3000000000975,-2826.349999999915,-4074.5499999998992
2025-08-19,-2191.9999999998945,-3141.9999999998654,-3651.000000000025,-4199.150000000029
2025-08-20,1576.1000000001095,-1116.1999999999953,4483.1500000002015,-917.5999999999422
2025-08-21,-3023.5000000000364,-3023.5000000000364,-1129.9499999998752,-1363.3999999999342
2025-08-22,1382.999999999878,-1732.2500000000657,-2086.3500000001786,-2086.3500000001786
2025-08-25,-1266.2999999998883,-2621.399999999976,-3349.349999999962,-3352.2999999999884
2025-08-26,-3028.449999999953,-4286.499999999973,-2606.349999999913,-3932.9999999999472
2025-08-27,-896.1000000000022,-1006.5000000000618,-726.0500000000811,-1719.1000000001368
2025-08-28,1424.8500000000367,-1896.5000000000582,2454.500000000004,-1910.7000000000207
2025-08-29,1229.199999999968,-1812.2500000000057,-2213.199999999919,-2880.349999999928
2025-09-01,487.6000000000422,-1587.199999999937,-1625.199999999999,-2232.9499999999443
2025-09-02,5464.999999999642,-960.799999999921,2221.3499999997275,-795.0999999999767
2025-09-03,-676.7999999999611,-3126.9999999999145,-1337.600000000004,-4110.899999999918
2025-09-04,-1018.3499999999876,-1267.8499999999185,-5012.350000000019,-5050.299999999932
2025-09-05,-2139.1000000000313,-2214.699999999992,-5293.049999999952,-5293.049999999952
2025-09-08,3245.4000000002216,-1678.3999999999796,4227.550000000334,-2897.999999999889
2025-09-09,-2920.24999999992,-4291.799999999961,-3054.3499999999804,-3818.199999999999
2025-09-10,-134.14999999993233,-928.0000000000218,-2152.849999999993,-3345.20000000003
2025-09-11,-3186.5999999999767,-3768.450000000024,-4300.199999999953,-4478.599999999997
2025-09-12,-2506.749999999898,-2506.749999999898,77.74999999991999,-1198.300000000012
2025-09-15,6703.949999999917,-120.0,1670.1999999999734,-2492.650000000085
2025-09-16,-4767.400000000112,-4767.400000000112,-518.100000000235,-2406.100000000009
2025-09-17,-5398.499999999925,-5398.499999999925,-4573.600000000082,-4573.600000000082
2025-09-18,-3731.050000000074,-4485.600000000062,-5331.8499999998985,-5331.8499999998985
2025-09-19,8794.249999999896,-2877.0999999999717,8879.899999999994,-2387.799999999994
2025-09-22,1550.549999999861,-1599.300000000083,9790.599999999857,-1679.400000000027
2025-09-23,-561.1999999999862,-3160.099999999964,-1906.599999999984,-3121.1999999999443
2025-09-24,157.70000000004438,-3658.899999999914,-4192.749999999936,-5520.499999999967
2025-09-25,-1274.3000000002903,-2903.900000000098,-5433.250000000047,-6916.399999999996
2025-09-26,-7064.749999999982,-7064.749999999982,-5531.250000000029,-5531.250000000029
2025-09-29,10940.950000000134,-120.0,14526.500000000166,-996.9999999999454
2025-09-30,6535.049999999887,-2361.7000000000007,4253.999999999876,-788.5999999999513
2025-10-01,-5853.199999999993,-5853.199999999993,-6022.50000000004,-6022.50000000004
2025-10-02,-1296.8999999997104,-3096.599999999942,-5127.749999999927,-5127.749999999927
2025-10-03,6682.45000000013,-120.0,4360.800000000014,-3441.600000000086
2025-10-06,8239.15000000004,-1388.3999999999703,9666.850000000064,-105.0
2025-10-07,-5933.300000000032,-5933.300000000032,-6566.800000000107,-6566.800000000107
2025-10-08,7718.950000000063,-120.0,6858.39999999998,-2355.3000000000284
2025-10-09,-8784.799999999928,-8784.799999999928,-8180.549999999952,-11000.299999999945
